Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
3,male,0.27345609420017536,1,0,A/5 21171,0.0005337507489328646,,S
1,female,0.47388199924840285,1,0,PC 17599,0.0009249560619390869,C85,C
3,female,0.32356257046223225,0,0,STON/O2. 3101282,0.0006315520771844202,,S
1,female,0.4363021420518602,1,0,113803,0.0008516050657504202,C123,S
3,male,0.4363021420518602,0,0,373450,0.0008516050657504202,,S
3,male,0.37218010356136805,0,0,330877,0.0007264471819317893,,Q
1,male,0.6743079042966303,0,0,17463,0.0013161613749453093,E46,S
3,male,0.02292371288989102,3,1,349909,4.4744107675086685e-05,,S
3,female,0.33608918952774647,0,2,347742,0.000656002409247309,,S
2,female,0.17324314167606164,1,0,237736,0.00033814809242975344,,C
3,female,0.04797695102091946,1,1,PP 9549,9.364477180086447e-05,G6,S
1,female,0.7244143805586872,0,0,113783,0.0014139627031968648,C103,S
3,male,0.24840285606914692,0,0,A/5. 2151,0.00048485008480708675,,S
3,male,0.4864086183139171,1,5,347082,0.0009494063940019758,,S
3,female,0.17324314167606164,0,0,350406,0.00033814809242975344,,S
2,female,0.6868345233621446,0,0,248706,0.001340611707008198,,S
3,male,0.02292371288989102,4,1,382652,4.4744107675086685e-05,,Q
2,male,0.37218010356136805,0,0,244373,0.0007264471819317893,,S
3,female,0.3861956657898033,1,0,345763,0.0007538037374988645,,S
3,female,0.37218010356136805,0,0,2649,0.0007264471819317893,,C
2,male,0.4363021420518602,0,0,239865,0.0008516050657504202,,S
2,male,0.42377552298634596,0,0,248698,0.0008271547336875313,D56,S
3,female,0.18576976074157586,0,0,330923,0.0003625984244926423,,Q
1,male,0.3486158085932607,0,0,113788,0.000680452741310198,A6,S
3,female,0.09808342728297632,3,1,349909,0.00019144610005242005,,S
3,female,0.47388199924840285,1,5,347077,0.0009249560619390869,,S
3,male,0.37218010356136805,0,0,2631,0.0007264471819317893,,C
1,male,0.2358762370036327,3,2,19950,0.0004603997527441978,C23 C25 C27,S
3,female,0.37218010356136805,0,0,330959,0.0007264471819317893,,Q
3,male,0.37218010356136805,0,0,349216,0.0007264471819317893,,S
1,male,0.4989352373794313,0,0,PC 17601,0.0009738567260648647,,C
